Time,E_EW (V/km),E_NS (V/km)
74310,-0.241463233,-0.750770703
74320,-0.203498794,-0.768960503
74330,-0.263169389,-0.996843677
74340,-0.331667508,-1.246134759
74350,-0.263952849,-1.10606148
74360,0.024701739,-0.959195199
74370,0.179235247,-0.867693462
74380,0.241205052,-0.814401655
74390,0.362607832,-0.592065822
74400,0.172113474,-0.306185186
74410,-0.162511765,0.022552977
74420,-0.193749335,0.216607917
74430,-0.004453026,0.129456468
74440,0.149767235,0.096166384
74450,-0.027632803,0.122612997
74460,-0.393112443,0.247063013
74470,-0.742807129,0.175401488
74480,-0.457737602,0.107066977
74490,-0.298681206,0.193234999
74500,-0.340050687,0.117834615
74510,-0.266802659,0.256922689
74520,-0.276256975,0.465807592
74530,-0.08843492,0.664914678
74540,0.047798518,0.440296634
74550,-0.086667636,0.344900627
74560,-0.027294108,0.342447792
74570,0.107700563,0.268123431
74580,0.179062133,0.267767696
74590,0.126732055,0.22356831
74600,-0.165356077,0.377218294
74610,-0.324321764,0.450460509
74620,-0.368011077,0.50166284
74630,-0.089541532,0.370878714
74640,-0.102466777,0.20743972
74650,-0.334735095,0.181602152
74660,-0.480761046,0.294859291
74670,-0.526771702,0.552863849
74680,-0.421990492,0.758360841
74690,-0.0354195,0.620269984
74700,0.171758295,0.516968501
74710,0.338139729,0.434793654
74720,0.656034329,0.245399309
74730,0.359220872,0.183085064
74740,0.130245671,0.178118688
74750,-0.130498194,0.305353962
74760,-0.375779971,0.498738073
74770,-0.384174672,0.514775835
74780,-0.159412208,0.428424042
74790,-0.32479234,0.312815303
74800,-0.206630209,0.236347284
74810,-0.172275621,0.209280203
74820,-0.390603334,0.212155313
74830,-0.310503485,0.251861194
74840,-0.23354503,0.145360987
